Production ID,Production Date,Factory,Production Line,Shift,Machine ID,Machine Type,Operator ID,Product Category,Planned Production,Actual Production,Defective Units,Downtime (Minutes),Production Hours,Energy Consumption (kWh),Maintenance Cost ($),Unit Production Cost ($),Temperature (°C),Humidity (%),Quality Inspection Score
P00357,2025-07-14,Factory C,Line D,Afternoon,M117,Automatic,OP1068,Microwave,452,438,0,36.0,12,691,1728.38,433.75,31.7,37,63.9
P00358,2025-08-10,Factory C,Line C,Afternoon,M118,Semi-Automatic,OP1013,Washing Machine,452,422,25,59.0,9,1051,1712.54,352.46,28.4,78,87.6
P00359,2025-10-08,Factory A,Line A,Morning,M101,Semi-Automatic,OP1013,Air Conditioner,272,247,3,87.0,12,659,626.6,145.4,21.9,36,84.8
P00360,2025-11-03,Factory C,Line A,Night,M108,Automatic,OP1078,Television,209,197,12,84.0,9,413,1769.57,132.67,27.3,39,85.6
P00361,2025-12-21,Factory C,Line C,Afternoon,M111,Automatic,OP1036,Refrigerator,321,282,12,49.0,10,361,719.77,370.44,21.6,39,79.7
P00362,2025-04-02,Factory C,Line D,Morning,M110,Manual,OP1099,Microwave,282,247,6,78.0,8,752,1816.96,68.9,19.5,71,89.1
P00363,2025-09-12,Factory A,Line A,Morning,M125,Semi-Automatic,OP1020,Washing Machine,408,421,25,73.0,8,827,1798.25,352.67,27.6,60,93.8
P00364,2025-04-26,Factory A,Line D,Night,M131,Automatic,OP1073,Air Conditioner,215,161,5,42.0,10,710,232.47,448.73,30.9,58,81.4
P00365,2025-08-24,Factory B,Line B,Morning,M136,Automatic,OP1050,Television,354,359,9,89.0,12,409,1613.48,177.69,19.7,75,77.5
P00366,2025-01-19,Factory A,Line A,Night,M138,Automatic,OP1063,Microwave,277,275,2,101.0,10,811,1381.46,379.56,27.0,36,61.5
P00367,2025-01-22,Factory B,Line A,Morning,M134,Semi-Automatic,OP1087,Air Conditioner,208,180,2,94.0,9,373,188.51,85.18,31.1,65,96.3
P00368,2025-05-05,Factory C,Line B,Morning,M112,Manual,OP1007,Washing Machine,496,506,6,58.0,9,1155,1518.5,372.57,20.1,66,83.8
P00369,2025-02-02,Factory A,Line D,Afternoon,M126,Semi-Automatic,OP1016,Air Conditioner,495,482,34,17.0,10,1156,2415.26,115.62,18.9,46,73.4
P00370,2025-03-14,Factory B,Line B,Night,M124,Manual,OP1022,Microwave,241,221,7,118.0,8,436,339.92,385.13,30.2,84,66.3
P00371,2025-01-04,Factory A,Line B,Morning,M138,Semi-Automatic,OP1054,Microwave,429,434,8,26.0,9,955,750.28,216.43,22.8,46,84.4
P00372,2025-09-13,Factory C,Line A,Night,M120,Semi-Automatic,OP1054,Refrigerator,199,191,7,24.0,8,842,2444.3,288.04,35.3,69,80.3
P00373,2025-05-22,Factory A,Line B,Morning,M110,Manual,OP1061,Microwave,417,406,11,20.0,8,355,1647.67,146.15,26.7,56,84.7
P00374,2025-02-23,Factory C,Line A,Night,M112,Automatic,OP1004,Microwave,412,422,32,14.0,8,540,1831.37,276.9,24.5,47,89.9
P00375,2025-02-26,Factory B,Line B,Morning,M116,Manual,OP1053,Television,346,332,12,114.0,9,375,1230.38,230.87,35.8,44,68.6
P00376,2025-04-02,Factory B,Line C,Morning,M130,Manual,OP1025,Washing Machine,492,449,17,25.0,10,430,177.03,266.68,23.6,42,94.1
P00377,2025-03-29,Factory B,Line B,Afternoon,M139,Automatic,OP1082,Air Conditioner,414,376,28,21.0,9,388,1088.07,246.75,35.2,48,83.7
P00378,2025-01-08,Factory C,Line D,Night,M116,Automatic,OP1042,Microwave,416,396,14,114.0,9,887,2255.8,202.55,18.9,65,89.3
P00379,2025-08-06,Factory C,Line D,Afternoon,M107,Semi-Automatic,OP1064,Television,438,449,5,71.0,8,1009,1856.29,428.72,20.7,53,69.6
P00380,2025-09-03,Factory C,Line C,Morning,M130,Manual,OP1096,Air Conditioner,226,239,0,58.0,12,1090,432.7,323.83,21.7,58,85.1
P00381,2025-07-17,Factory C,Line C,Night,M103,Semi-Automatic,OP1055,Washing Machine,180,186,11,78.0,9,1106,1743.2,288.69,24.7,38,80.6
P00382,2025-02-26,Factory B,Line C,Afternoon,M140,Automatic,OP1047,Washing Machine,366,375,5,82.0,8,874,1802.41,112.0,37.6,50,81.6
P00383,2025-12-26,Factory A,Line B,Afternoon,M123,Semi-Automatic,OP1065,Microwave,424,365,8,6.0,8,681,928.54,231.65,28.5,42,78.8
P00384,2025-05-30,Factory B,Line C,Night,M105,Automatic,OP1059,Refrigerator,452,399,5,50.0,9,595,2399.82,57.7,21.3,42,87.9
P00385,2025-04-15,Factory C,Line A,Afternoon,M127,Manual,OP1070,Television,434,430,30,44.0,12,754,1870.5,34.13,21.8,36,94.9
P00386,2025-11-27,Factory B,Line D,Night,M122,Manual,OP1083,Washing Machine,298,247,15,75.0,12,768,829.8,81.08,33.8,45,91.6
P00387,2025-07-10,Factory B,Line A,Morning,M123,Semi-Automatic,OP1059,Television,296,250,19,118.0,9,1028,1384.76,102.47,21.5,80,87.7
P00388,2025-05-02,Factory A,Line A,Afternoon,M137,Automatic,OP1057,Washing Machine,258,253,11,23.0,9,875,1797.12,307.86,37.6,44,74.9
P00389,2025-10-01,Factory B,Line A,Morning,M126,Semi-Automatic,OP1099,Television,456,451,29,118.0,10,459,110.31,338.86,37.5,56,85.9
P00390,2025-05-29,Factory C,Line B,Night,M129,Semi-Automatic,OP1089,Refrigerator,331,286,15,115.0,8,442,1727.22,74.67,18.5,74,93.6
P00391,2025-02-17,Factory B,Line A,Night,M113,Manual,OP1068,Television,408,378,25,119.0,10,500,154.12,253.83,26.9,77,98.3
P00392,2025-04-10,Factory B,Line C,Night,M139,Manual,OP1008,Washing Machine,442,407,25,18.0,12,678,1026.67,30.18,24.9,54,99.1
P00393,2025-04-21,Factory C,Line D,Night,M127,Semi-Automatic,OP1037,Television,467,471,27,93.0,12,442,2105.23,279.12,20.9,54,79.0
P00394,2025-02-03,Factory C,Line D,Morning,M101,Semi-Automatic,OP1082,Washing Machine,448,421,26,22.0,12,1027,1463.0,413.82,22.0,59,71.6
P00395,2025-06-04,Factory C,Line C,Afternoon,M136,Manual,OP1060,Television,431,441,1,101.0,8,457,730.42,431.31,34.7,65,65.0
P00396,2025-04-02,Factory B,Line B,Morning,M108,Semi-Automatic,OP1064,Refrigerator,327,289,19,95.0,10,895,1253.17,210.33,23.2,78,79.0
P00397,2025-09-20,Factory C,Line A,Afternoon,M111,Manual,OP1008,Television,241,209,10,59.0,9,665,491.94,140.88,26.4,57,61.9
P00398,2025-11-24,Factory A,Line B,Night,M112,Automatic,OP1077,Television,329,277,17,41.0,10,1146,2127.99,364.95,23.4,79,87.5
P00399,2025-10-24,Factory B,Line B,Morning,M109,Manual,OP1037,Washing Machine,229,176,12,62.0,12,648,2310.18,94.29,22.4,67,68.8
P00400,2025-11-11,Factory C,Line A,Afternoon,M130,Automatic,OP1015,Television,276,220,0,61.0,10,619,1758.52,84.08,26.8,73,80.9
P00401,2025-12-30,Factory B,Line A,Night,M108,Automatic,OP1017,Television,355,348,22,29.0,10,428,603.62,441.97,26.5,83,91.4
P00402,2025-09-05,Factory B,Line A,Morning,M107,Automatic,OP1085,Air Conditioner,219,232,18,7.0,12,421,2280.47,43.39,24.0,35,90.2
P00403,2025-10-28,Factory A,Line B,Night,M123,Automatic,OP1012,Television,243,232,8,74.0,10,660,485.34,237.77,32.6,50,80.2
P00404,2025-10-24,Factory A,Line B,Night,M113,Semi-Automatic,OP1022,Air Conditioner,214,217,0,92.0,8,519,2309.15,386.8,27.5,79,83.6
P00405,2025-04-03,Factory B,Line D,Afternoon,M114,Manual,OP1030,Microwave,405,407,7,97.0,10,426,1218.16,245.88,27.9,58,88.2
P00406,2025-02-12,Factory B,Line D,Morning,M125,Semi-Automatic,OP1059,Air Conditioner,465,475,19,87.0,12,531,1429.4,148.5,35.1,47,94.3
P00407,2025-04-02,Factory A,Line D,Night,M107,Semi-Automatic,OP1057,Air Conditioner,423,391,5,15.0,9,704,1061.5,275.99,20.0,45,62.6
P00408,2025-04-13,Factory C,Line D,Morning,M115,Semi-Automatic,OP1093,Microwave,281,253,8,97.0,10,1074,1994.78,298.63,26.0,65,86.7
P00409,2025-09-19,Factory B,Line B,Afternoon,M107,Automatic,OP1033,Microwave,387,340,15,,9,330,339.05,47.46,19.4,78,
P00410,2025-11-06,Factory C,Line C,Morning,M120,Manual,OP1080,Refrigerator,271,238,2,84.0,12,1111,1218.45,149.76,28.0,67,70.5
P00411,2025-10-07,Factory A,Line A,Afternoon,M108,Semi-Automatic,OP1058,Washing Machine,355,301,12,56.0,12,336,178.86,261.58,35.2,54,95.4
P00412,2025-08-09,Factory A,Line C,Night,M125,Semi-Automatic,OP1098,Refrigerator,264,217,15,84.0,12,787,1449.41,91.43,19.1,51,79.8
P00413,2025-05-26,Factory B,Line A,Morning,M138,Automatic,OP1017,Washing Machine,373,343,11,103.0,8,1083,2239.22,170.03,19.9,57,99.7
P00414,2025-01-29,Factory C,Line B,Morning,M116,Manual,OP1040,Air Conditioner,390,361,2,116.0,8,1189,831.79,168.48,18.4,55,61.5
P00415,2025-09-21,Factory B,Line C,Morning,M131,Manual,OP1003,Washing Machine,396,339,12,73.0,12,630,1474.09,368.54,20.0,78,68.2
P00416,2025-12-08,Factory B,Line B,Night,M120,Semi-Automatic,OP1056,Television,434,385,15,81.0,8,1160,2140.8,115.98,23.3,54,99.8
P00417,2025-11-16,Factory C,Line A,Night,M138,Automatic,OP1076,Washing Machine,385,372,8,8.0,12,737,603.37,363.15,31.0,54,80.2
P00418,2025-12-06,Factory C,Line C,Morning,M127,Semi-Automatic,OP1033,Air Conditioner,333,293,16,58.0,9,319,1606.83,244.4,21.7,66,68.5
P00419,2025-11-23,Factory C,Line D,Night,M104,Manual,OP1026,Washing Machine,419,400,29,18.0,9,454,1891.44,350.35,34.9,61,72.7
P00420,2025-07-31,Factory B,Line C,Night,M111,Semi-Automatic,OP1088,Air Conditioner,212,201,7,51.0,9,416,459.91,36.77,33.9,54,78.6
P00421,2025-08-05,Factory C,Line A,Morning,M111,Semi-Automatic,OP1018,Refrigerator,466,426,16,101.0,10,974,1421.69,298.82,18.8,81,79.4
P00422,2025-02-12,Factory B,Line C,Morning,M127,Semi-Automatic,OP1086,Refrigerator,190,198,12,120.0,9,541,368.64,337.15,36.7,68,86.6
P00423,2025-05-09,Factory B,Line A,Morning,M139,Automatic,OP1099,Washing Machine,477,425,21,106.0,12,1125,1896.1,125.27,26.5,44,64.3
P00424,2025-08-14,Factory B,Line C,Night,M104,Semi-Automatic,OP1069,Washing Machine,289,269,3,40.0,12,786,1738.57,434.41,35.6,44,74.5
P00425,2025-01-11,Factory C,Line A,Night,M104,Manual,OP1086,Television,368,344,8,70.0,12,616,1633.48,322.76,36.1,78,64.9
P00426,2025-07-18,Factory A,Line D,Afternoon,M120,Automatic,OP1097,Television,301,260,9,26.0,9,749,1615.25,398.77,33.3,61,91.6
P00427,2025-09-09,Factory B,Line D,Afternoon,M128,Automatic,OP1021,Washing Machine,320,325,16,8.0,10,730,1545.08,370.71,32.8,64,87.8
P00428,2025-11-19,Factory B,Line B,Morning,M126,Automatic,OP1081,Washing Machine,206,198,10,73.0,8,413,478.77,244.46,37.4,76,90.5
P00429,2025-06-13,Factory B,Line D,Night,M109,Semi-Automatic,OP1023,Air Conditioner,484,447,20,102.0,10,503,302.56,181.23,25.9,59,97.8
P00430,2025-01-11,Factory A,Line B,Morning,M130,Automatic,OP1034,Television,472,459,3,51.0,12,914,724.38,62.85,25.4,71,64.7
P00431,2025-08-21,Factory C,Line D,Morning,M115,Manual,OP1027,Television,449,409,17,36.0,12,691,412.48,388.94,30.0,53,89.1
P00432,2025-04-03,Factory B,Line B,Morning,M119,Semi-Automatic,OP1031,Air Conditioner,276,238,14,116.0,9,678,1498.97,300.08,19.7,65,65.3
P00433,2025-12-18,Factory A,Line D,Night,M128,Manual,OP1077,Washing Machine,345,310,2,12.0,8,353,898.87,124.81,36.2,73,97.6
P00434,2025-01-03,Factory B,Line D,Afternoon,M126,Manual,OP1048,Television,486,496,35,5.0,9,566,507.68,234.46,24.8,64,65.3
P00435,2025-08-10,Factory A,Line C,Morning,M121,Automatic,OP1017,Microwave,342,290,8,95.0,10,740,779.02,397.7,30.3,83,97.1
P00436,2025-08-12,Factory A,Line C,Night,M132,Automatic,OP1072,Microwave,444,419,3,24.0,9,355,651.67,40.24,23.2,80,78.7
P00437,2025-01-21,Factory B,Line C,Night,M136,Semi-Automatic,OP1059,Microwave,239,191,3,108.0,9,426,939.05,111.59,23.7,45,90.0
P00438,2025-12-06,Factory C,Line B,Night,M101,Manual,OP1099,Air Conditioner,319,262,5,53.0,8,552,1943.81,312.69,35.7,36,71.4
P00439,2025-07-11,Factory C,Line A,Afternoon,M110,Automatic,OP1011,Microwave,242,207,15,58.0,10,908,1679.22,165.01,18.9,74,98.0
P00440,2025-03-08,Factory A,Line A,Night,M119,Semi-Automatic,OP1008,Refrigerator,346,289,17,77.0,12,394,1057.26,100.65,37.3,60,63.6
P00441,2025-07-18,Factory B,Line C,Night,M110,Automatic,OP1039,Microwave,286,281,13,94.0,10,1001,1548.43,177.59,19.9,58,80.5
P00442,2025-07-18,Factory B,Line C,Night,M139,Semi-Automatic,OP1012,Microwave,430,388,23,78.0,9,744,1613.65,64.5,28.3,64,87.1
P00443,2025-09-27,Factory C,Line A,Afternoon,M130,Semi-Automatic,OP1011,Microwave,259,211,9,19.0,9,1000,2266.97,382.65,28.5,53,82.7
P00444,2025-01-24,Factory C,Line A,Night,M128,Semi-Automatic,OP1013,Microwave,462,468,36,104.0,10,663,711.66,59.75,28.1,42,89.6
P00445,2025-04-04,Factory B,Line A,Morning,M127,Manual,OP1039,Washing Machine,416,409,29,96.0,12,938,2038.8,170.07,36.4,46,68.4
P00446,2025-12-11,Factory A,Line D,Night,M102,Automatic,OP1051,Refrigerator,220,202,0,21.0,12,771,1760.33,394.23,37.3,73,89.0
P00447,2025-12-20,Factory C,Line D,Afternoon,M106,Automatic,OP1018,Refrigerator,335,304,6,14.0,8,1012,2429.25,390.08,22.2,76,65.8
P00448,2025-11-17,Factory C,Line B,Morning,M120,Semi-Automatic,OP1019,Microwave,303,263,13,2.0,8,470,2265.8,338.98,26.9,66,78.9
P00449,2025-05-05,Factory A,Line C,Night,M126,Automatic,OP1043,Refrigerator,410,351,3,80.0,12,725,2136.68,338.26,29.9,70,100.0
P00450,2025-07-24,Factory B,Line D,Morning,M104,Manual,OP1003,Microwave,198,151,9,40.0,8,574,2242.91,202.28,27.5,66,84.9
P00451,2025-12-24,Factory B,Line A,Morning,M119,Manual,OP1025,Microwave,357,315,11,56.0,9,819,627.29,411.35,24.8,73,94.1
P00452,2025-05-31,Factory C,Line D,Afternoon,M124,Semi-Automatic,OP1021,Air Conditioner,419,418,13,36.0,8,983,1258.94,98.65,21.1,66,64.0
P00453,2025-06-05,Factory A,Line B,Night,M104,Automatic,OP1046,Washing Machine,392,344,11,86.0,9,478,2087.08,405.14,18.6,39,73.5
P00454,2025-03-03,Factory C,Line B,Afternoon,M117,Semi-Automatic,OP1046,Refrigerator,238,224,17,34.0,9,1173,1756.33,244.04,31.4,80,62.0
P00455,2025-02-26,Factory A,Line A,Night,M103,Manual,OP1014,Television,404,361,20,15.0,9,670,476.88,149.15,26.8,67,79.9
P00456,2025-11-28,Factory B,Line C,Morning,M108,Automatic,OP1057,Microwave,230,226,0,31.0,12,649,788.22,97.79,23.3,80,90.2
P00457,2025-03-19,Factory C,Line D,Morning,M109,Semi-Automatic,OP1053,Microwave,364,348,14,109.0,10,330,1162.19,352.31,32.4,68,97.7
P00458,2025-06-11,Factory B,Line B,Afternoon,M104,Semi-Automatic,OP1098,Refrigerator,223,195,4,115.0,8,946,2452.11,364.61,35.5,53,76.8
P00459,2025-06-10,Factory B,Line A,Afternoon,M134,Manual,OP1019,Microwave,463,440,28,82.0,9,857,1598.46,287.73,26.8,57,95.5
P00460,2025-06-04,Factory A,Line A,Night,M122,Semi-Automatic,OP1093,Television,387,377,16,69.0,10,518,322.77,259.51,28.4,83,85.4
P00461,2025-10-04,Factory C,Line C,Morning,M120,Manual,OP1055,Air Conditioner,191,203,3,93.0,8,1161,995.15,291.47,25.1,38,90.3
P00462,2025-06-02,Factory C,Line A,Afternoon,M122,Automatic,OP1096,Air Conditioner,243,201,7,44.0,10,591,1700.61,371.41,29.5,43,88.6
P00463,2025-02-23,Factory B,Line B,Afternoon,M130,Automatic,OP1019,Microwave,446,430,26,10.0,8,363,1119.73,80.28,22.3,39,74.8
P00464,2025-10-29,Factory C,Line D,Afternoon,M138,Semi-Automatic,OP1082,Microwave,449,413,28,88.0,12,1049,2435.85,375.12,20.9,43,79.4
P00465,2025-12-27,Factory C,Line A,Night,M114,Semi-Automatic,OP1061,Refrigerator,414,413,10,120.0,10,421,1543.84,198.66,20.4,71,71.6
P00466,2025-03-02,Factory B,Line C,Afternoon,M120,Semi-Automatic,OP1063,Refrigerator,447,443,9,18.0,12,349,2348.37,154.69,23.7,46,92.8
P00467,2025-03-04,Factory C,Line C,Morning,M103,Semi-Automatic,OP1062,Air Conditioner,430,445,19,72.0,12,645,1975.24,226.97,32.4,73,65.3
P00468,2025-11-22,Factory B,Line D,Night,M129,Automatic,OP1094,Washing Machine,250,201,2,102.0,12,696,658.77,193.04,28.8,77,95.6
P00469,2025-03-26,Factory C,Line A,Night,M120,Manual,OP1083,Refrigerator,322,326,20,71.0,8,497,2392.4,255.28,33.2,71,80.9
P00470,2025-01-10,Factory A,Line B,Morning,M118,Automatic,OP1032,Air Conditioner,423,374,14,10.0,10,711,1513.34,233.88,36.7,56,77.5
P00471,2025-09-28,Factory B,Line D,Afternoon,M106,Automatic,OP1013,Air Conditioner,392,404,10,36.0,9,487,713.33,63.09,24.1,61,87.1
P00472,2025-04-03,Factory A,Line A,Afternoon,M125,Automatic,OP1041,Television,210,184,6,114.0,10,564,1001.23,376.79,20.4,47,69.6
P00473,2025-05-02,Factory B,Line D,Morning,M118,Automatic,OP1041,Microwave,485,425,26,8.0,12,329,1077.99,124.34,35.7,52,82.2
P00474,2025-05-07,Factory C,Line B,Afternoon,M137,Semi-Automatic,OP1058,Refrigerator,480,483,32,26.0,9,682,1397.06,96.48,22.9,62,98.5
P00475,2025-01-22,Factory A,Line D,Night,M119,Manual,OP1022,Refrigerator,464,422,3,119.0,12,579,1534.88,381.78,25.6,57,93.7
P00476,2025-09-19,Factory B,Line A,Morning,M135,Manual,OP1009,Washing Machine,288,229,2,50.0,8,1150,435.16,261.5,23.6,62,68.4
P00477,2025-12-16,Factory B,Line C,Night,M129,Semi-Automatic,OP1032,Washing Machine,438,413,21,26.0,12,913,888.3,413.46,20.7,35,84.4
P00478,2025-12-11,Factory A,Line D,Night,M132,Semi-Automatic,OP1069,Refrigerator,182,196,2,68.0,8,1152,2058.54,214.2,20.5,59,93.1
P00479,2025-04-01,Factory C,Line A,Morning,M130,Semi-Automatic,OP1025,Microwave,363,329,0,28.0,8,1076,774.72,416.59,25.2,40,92.7
P00480,2025-04-24,Factory A,Line D,Afternoon,M103,Semi-Automatic,OP1064,Air Conditioner,500,477,13,0.0,9,1140,1632.25,72.15,23.5,67,79.8
P00481,2025-12-04,Factory C,Line B,Morning,M138,Automatic,OP1096,Refrigerator,462,453,8,33.0,9,835,1849.36,141.59,35.0,36,99.7
P00482,2025-12-15,Factory C,Line D,Morning,M128,Manual,OP1087,Refrigerator,452,435,20,55.0,12,580,392.12,245.28,27.9,68,90.4
P00483,2025-05-23,Factory B,Line D,Afternoon,M101,Semi-Automatic,OP1025,Washing Machine,294,303,2,112.0,8,1055,641.51,318.06,37.2,50,67.9
P00484,2025-02-02,Factory C,Line A,Morning,M131,Semi-Automatic,OP1004,Air Conditioner,348,324,25,80.0,10,1160,700.98,70.83,22.8,56,93.3
P00485,2025-05-02,Factory A,Line D,Morning,M129,Manual,OP1016,Refrigerator,350,299,1,117.0,8,686,851.87,385.27,19.3,43,62.5
P00486,2025-06-04,Factory C,Line D,Morning,M107,Manual,OP1008,Air Conditioner,406,414,3,37.0,12,711,329.99,344.58,22.7,73,91.5
P00487,2025-08-21,Factory B,Line D,Afternoon,M140,Manual,OP1013,Washing Machine,499,513,41,120.0,8,764,1341.31,274.82,20.2,35,83.8
P00488,2025-04-10,Factory C,Line B,Night,M133,Semi-Automatic,OP1046,Microwave,214,154,7,,12,490,683.57,363.74,19.2,54,
P00489,2025-06-09,Factory C,Line B,Morning,M131,Semi-Automatic,OP1078,Washing Machine,442,412,18,47.0,8,830,1507.46,313.28,19.1,67,92.8
P00490,2025-08-05,Factory B,Line B,Morning,M113,Automatic,OP1044,Television,466,475,30,88.0,12,914,1761.79,387.1,29.3,56,84.6
P00491,2025-03-25,Factory A,Line D,Morning,M132,Automatic,OP1001,Television,394,367,22,29.0,12,938,611.53,229.32,33.4,56,92.3
P00492,2025-07-24,Factory A,Line A,Afternoon,M101,Automatic,OP1046,Refrigerator,372,361,17,14.0,9,597,1156.98,293.32,36.3,58,61.8
P00493,2025-04-12,Factory B,Line B,Morning,M117,Manual,OP1023,Washing Machine,195,185,13,70.0,9,482,570.37,99.83,23.2,41,60.8
P00494,2025-12-02,Factory A,Line C,Morning,M120,Semi-Automatic,OP1031,Washing Machine,250,217,11,84.0,9,839,2445.04,449.02,35.6,80,62.6
P00495,2025-04-08,Factory A,Line D,Night,M124,Semi-Automatic,OP1077,Microwave,253,252,20,31.0,8,1081,1578.47,105.37,28.7,85,65.9
P00496,2025-11-19,Factory B,Line B,Night,M138,Semi-Automatic,OP1027,Refrigerator,306,315,25,60.0,8,471,1320.67,344.31,30.9,67,75.0
P00497,2025-04-02,Factory B,Line C,Night,M131,Manual,OP1064,Microwave,445,401,17,74.0,12,953,2310.84,273.19,18.7,49,95.8
P00498,2025-07-22,Factory A,Line C,Afternoon,M125,Manual,OP1021,Washing Machine,411,396,16,70.0,8,437,1903.89,150.4,28.4,49,83.4
P00499,2025-11-15,Factory B,Line D,Afternoon,M130,Semi-Automatic,OP1053,Washing Machine,418,368,25,63.0,10,579,1017.69,101.32,22.7,76,63.0
P00500,2025-09-14,Factory C,Line A,Afternoon,M115,Automatic,OP1016,Refrigerator,222,200,11,4.0,9,641,571.95,164.93,24.1,84,87.3
P00501,2025-12-28,Factory C,Line B,Night,M135,Semi-Automatic,OP1002,Washing Machine,320,311,9,105.0,10,1101,2492.42,426.97,34.4,83,86.2
P00502,2025-03-18,Factory B,Line B,Morning,M114,Semi-Automatic,OP1030,Air Conditioner,421,371,18,100.0,12,1039,2054.55,169.78,19.7,47,77.2
P00503,2025-08-13,Factory B,Line A,Afternoon,M109,Manual,OP1017,Washing Machine,393,382,30,94.0,8,811,2044.96,379.58,24.8,61,77.0
P00504,2025-06-03,Factory B,Line A,Night,M103,Automatic,OP1020,Washing Machine,386,333,18,80.0,12,690,590.09,191.02,28.7,47,79.0
P00505,2025-08-20,Factory C,Line C,Morning,M111,Automatic,OP1087,Air Conditioner,348,291,5,4.0,12,327,548.06,54.53,37.3,53,68.2
P00506,2025-02-05,Factory B,Line A,Afternoon,M134,Automatic,OP1022,Washing Machine,329,277,13,50.0,9,413,409.93,202.83,32.9,59,98.2
P00507,2025-04-16,Factory B,Line D,Night,M131,Automatic,OP1078,Air Conditioner,285,284,9,75.0,9,814,1820.25,220.06,22.0,44,77.8
P00508,2025-09-27,Factory B,Line D,Afternoon,M130,Manual,OP1006,Refrigerator,384,368,9,82.0,12,655,1780.76,327.45,23.9,74,92.9
P00509,2025-05-08,Factory A,Line D,Afternoon,M125,Manual,OP1024,Air Conditioner,269,231,3,50.0,8,545,2225.3,92.12,35.7,69,71.7
P00510,2025-09-10,Factory B,Line A,Afternoon,M105,Automatic,OP1065,Washing Machine,214,202,13,57.0,9,558,597.69,43.97,18.5,75,87.8
P00511,2025-06-25,Factory C,Line D,Morning,M126,Automatic,OP1002,Washing Machine,416,383,3,90.0,9,634,1708.71,222.3,27.2,40,81.9
P00512,2025-03-13,Factory B,Line C,Morning,M111,Automatic,OP1078,Refrigerator,304,263,5,37.0,8,847,1879.47,96.59,31.4,35,87.1
P00513,2025-07-03,Factory A,Line B,Night,M103,Manual,OP1069,Television,258,217,14,89.0,8,1156,1623.5,247.22,31.3,77,95.9
P00514,2025-08-16,Factory A,Line A,Morning,M125,Automatic,OP1032,Washing Machine,379,355,7,25.0,8,316,1112.04,445.45,24.7,47,87.2
P00515,2025-02-19,Factory C,Line B,Night,M111,Automatic,OP1054,Air Conditioner,212,199,3,104.0,10,630,1448.93,105.56,22.1,69,75.8
P00516,2025-04-29,Factory A,Line A,Afternoon,M121,Automatic,OP1002,Microwave,399,399,20,1.0,12,517,1201.06,53.06,34.3,76,85.0
P00517,2025-04-22,Factory B,Line C,Night,M132,Automatic,OP1092,Air Conditioner,202,209,5,32.0,8,914,878.45,293.12,25.8,84,87.7
P00518,2025-11-22,Factory C,Line C,Night,M131,Automatic,OP1043,Refrigerator,350,343,19,116.0,12,691,1326.46,340.27,28.1,80,99.5
P00519,2025-11-12,Factory A,Line C,Morning,M128,Automatic,OP1080,Refrigerator,299,312,1,17.0,10,810,811.88,89.46,22.1,37,69.5
P00520,2025-06-18,Factory A,Line C,Afternoon,M103,Manual,OP1054,Washing Machine,486,445,1,29.0,10,650,681.4,254.21,36.1,77,99.5
P00521,2025-09-24,Factory B,Line B,Afternoon,M101,Automatic,OP1063,Refrigerator,293,260,6,6.0,9,509,401.35,98.81,29.0,85,97.3
P00522,2025-02-10,Factory B,Line D,Afternoon,M111,Manual,OP1026,Television,300,251,13,22.0,9,610,784.85,215.52,30.7,52,94.5
P00523,2025-07-04,Factory B,Line D,Morning,M131,Semi-Automatic,OP1055,Air Conditioner,426,431,27,97.0,9,1139,2389.02,229.85,33.2,62,94.2
P00524,2025-03-20,Factory C,Line B,Afternoon,M125,Semi-Automatic,OP1040,Microwave,333,280,9,48.0,12,373,899.76,328.82,21.9,47,60.2
P00525,2025-09-09,Factory B,Line D,Afternoon,M124,Semi-Automatic,OP1063,Washing Machine,436,404,4,52.0,8,427,1023.58,265.38,21.9,62,98.3
P00526,2025-12-30,Factory B,Line C,Night,M104,Manual,OP1050,Microwave,358,308,23,31.0,9,789,182.82,370.58,30.6,78,61.1
P00527,2025-11-06,Factory B,Line B,Afternoon,M116,Manual,OP1075,Television,255,237,0,14.0,8,959,1807.86,188.35,32.1,40,80.7
P00528,2025-03-26,Factory B,Line C,Night,M120,Manual,OP1069,Microwave,276,237,18,39.0,12,1070,2203.36,334.25,19.8,75,82.9
P00529,2025-05-18,Factory C,Line B,Night,M126,Manual,OP1040,Refrigerator,356,353,5,104.0,12,301,332.49,353.84,26.4,61,86.2
P00530,2025-04-01,Factory B,Line B,Night,M109,Automatic,OP1063,Television,400,394,7,57.0,9,490,582.26,343.71,34.2,47,70.4
P00531,2025-11-17,Factory C,Line A,Night,M111,Automatic,OP1038,Refrigerator,389,348,12,15.0,10,365,921.16,273.9,27.6,78,90.4
P00532,2025-05-17,Factory A,Line A,Morning,M114,Manual,OP1001,Microwave,184,192,8,119.0,12,784,1916.59,281.86,24.7,78,95.6
P00533,2025-07-04,Factory C,Line D,Afternoon,M140,Automatic,OP1046,Washing Machine,341,326,25,12.0,8,767,2189.3,195.77,34.7,43,61.0
P00534,2025-05-24,Factory C,Line B,Afternoon,M129,Manual,OP1088,Microwave,242,190,13,84.0,9,303,2466.84,431.96,34.3,36,85.4
P00535,2025-12-14,Factory B,Line B,Night,M132,Semi-Automatic,OP1095,Air Conditioner,203,177,12,10.0,10,738,2353.8,425.13,27.5,77,94.3
